boletim_data,boletim_numero,tipo,numero,ano,orgao,data_ato,pagina,secao,ementa,relevante
2025-12-30,001/2026,PORTARIA,2152,,PROCURADOR-GERAL DO TRABALHO,2025-12-30,0,PORTARIAS,"75, de 20/05/93, tendo em vista os dados e informações constantes do PGEA n° 20.02.0001.0009746/2025-13 e do PGEA n° 20.02.0001.0010606/2025-73, e",0
2025-12-30,001/2026,EDITAL,118,,,,0,EDITAIS,,0
2025-12-30,001/2026,DECISÃO,4476.2025,,,,0,EDITAIS,,0
2025-12-30,001/2026,DECISÃO,4504.2025,,,,0,EDITAIS,,0
2025-12-30,001/2026,DECISÃO,4483.2025,,,,0,EDITAIS,,0
2025-12-30,001/2026,DECISÃO,4440.2025,,,,0,EDITAIS,,0
2025-12-30,001/2026,DECISÃO,4560.2025,,,,0,EDITAIS,,0
2025-12-30,001/2026,DECISÃO,4480.2025,,,,0,EDITAIS,,0
2025-12-30,001/2026,PORTARIA,251,,,2025-12-30,0,PORTARIAS,"Divulga o calendário de feriados e pontos facultativos para o ano de 2026, a ser observado no âmbito da Sede da PRT 7ª Região e PTMs, considerando os calendários da Procuradoria-Geral do Trabalho e do TRT 7ª Região.",0
2025-12-30,001/2026,PORTARIA,252,,,2025-12-30,0,PORTARIAS,Prorroga o prazo de conclusão de Processo Administrativo de Apuração de Responsabilidade (PAAR).,0
2025-12-30,001/2026,PORTARIA,327,,,2025-12-30,0,PORTARIAS,"previstas no art. 1°, inc. IV, da Portaria PGT n° 1.728, de 02 de outubro de 2017, resolve: Art. 1° Dispensar a Procuradora do Trabalho LUÍSA NUNES DE CASTRO ANABUKI, do encargo de Coordenadora Regional da Coordenadoria Nacional de Combate às Fraudes nas Relações de Trabalho - CONAFRET, no Estado do Tocantins.",0
